INSERT INTO memory_table (user_id, username, age)
VALUES
 ('00000', 'st0', '1'),
 ('53184', 'st53184', '85'),
 ('53185', 'st53185', '86'),
 ('53186', 'st53186', '87'),
 ('53187', 'st53187', '88'),
 ('53188', 'st53188', '89'),
 ('53189', 'st53189', '90'),
 ('53190', 'st53190', '91'),
 ('53191', 'st53191', '92'),
 ('53192', 'st53192', '93'),
 ('53193', 'st53193', '94'),
 ('53194', 'st53194', '95'),
 ('53195', 'st53195', '96'),
 ('53196', 'st53196', '97'),
 ('53197', 'st53197', '98'),
 ('53198', 'st53198', '99'),
 ('53199', 'st53199', '100'),
 ('53200', 'st53200', '1'),
 ('53201', 'st53201', '2'),
 ('53202', 'st53202', '3'),
 ('53203', 'st53203', '4'),
 ('53204', 'st53204', '5'),
 ('53205', 'st53205', '6'),
 ('53206', 'st53206', '7'),
 ('53207', 'st53207', '8'),
 ('53208', 'st53208', '9'),
 ('53209', 'st53209', '10'),
 ('53210', 'st53210', '11'),
 ('53211', 'st53211', '12'),
 ('53212', 'st53212', '13'),
 ('53213', 'st53213', '14'),
 ('53214', 'st53214', '15'),
 ('53215', 'st53215', '16'),
 ('53216', 'st53216', '17'),
 ('53217', 'st53217', '18'),
 ('53218', 'st53218', '19'),
 ('53219', 'st53219', '20'),
 ('53220', 'st53220', '21'),
 ('53221', 'st53221', '22'),
 ('53222', 'st53222', '23'),
 ('53223', 'st53223', '24'),
 ('53224', 'st53224', '25'),
 ('53225', 'st53225', '26'),
 ('53226', 'st53226', '27'),
 ('53227', 'st53227', '28'),
 ('53228', 'st53228', '29'),
 ('53229', 'st53229', '30'),
 ('53230', 'st53230', '31'),
 ('53231', 'st53231', '32'),
 ('53232', 'st53232', '33'),
 ('53233', 'st53233', '34'),
 ('53234', 'st53234', '35'),
 ('53235', 'st53235', '36'),
 ('53236', 'st53236', '37'),
 ('53237', 'st53237', '38'),
 ('53238', 'st53238', '39'),
 ('53239', 'st53239', '40'),
 ('53240', 'st53240', '41'),
 ('53241', 'st53241', '42'),
 ('53242', 'st53242', '43'),
 ('53243', 'st53243', '44'),
 ('53244', 'st53244', '45'),
 ('53245', 'st53245', '46'),
 ('53246', 'st53246', '47'),
 ('53247', 'st53247', '48'),
 ('53248', 'st53248', '49'),
 ('53249', 'st53249', '50'),
 ('53250', 'st53250', '51'),
 ('53251', 'st53251', '52'),
 ('53252', 'st53252', '53'),
 ('53253', 'st53253', '54'),
 ('53254', 'st53254', '55'),
 ('53255', 'st53255', '56'),
 ('53256', 'st53256', '57'),
 ('53257', 'st53257', '58'),
 ('53258', 'st53258', '59'),
 ('53259', 'st53259', '60'),
 ('53260', 'st53260', '61'),
 ('53261', 'st53261', '62'),
 ('53262', 'st53262', '63'),
 ('53263', 'st53263', '64'),
 ('53264', 'st53264', '65'),
 ('53265', 'st53265', '66'),
 ('53266', 'st53266', '67'),
 ('53267', 'st53267', '68'),
 ('53268', 'st53268', '69'),
 ('53269', 'st53269', '70'),
 ('53270', 'st53270', '71'),
 ('53271', 'st53271', '72'),
 ('53272', 'st53272', '73'),
 ('53273', 'st53273', '74'),
 ('53274', 'st53274', '75'),
 ('53275', 'st53275', '76'),
 ('53276', 'st53276', '77'),
 ('53277', 'st53277', '78'),
 ('53278', 'st53278', '79'),
 ('53279', 'st53279', '80'),
 ('53280', 'st53280', '81'),
 ('53281', 'st53281', '82'),
 ('53282', 'st53282', '83'),
 ('53283', 'st53283', '84'),
 ('53284', 'st53284', '85'),
 ('53285', 'st53285', '86'),
 ('53286', 'st53286', '87'),
 ('53287', 'st53287', '88'),
 ('53288', 'st53288', '89'),
 ('53289', 'st53289', '90'),
 ('53290', 'st53290', '91'),
 ('53291', 'st53291', '92'),
 ('53292', 'st53292', '93'),
 ('53293', 'st53293', '94'),
 ('53294', 'st53294', '95'),
 ('53295', 'st53295', '96'),
 ('53296', 'st53296', '97'),
 ('53297', 'st53297', '98'),
 ('53298', 'st53298', '99'),
 ('53299', 'st53299', '100'),
 ('53300', 'st53300', '1'),
 ('53301', 'st53301', '2'),
 ('53302', 'st53302', '3'),
 ('53303', 'st53303', '4'),
 ('53304', 'st53304', '5'),
 ('53305', 'st53305', '6'),
 ('53306', 'st53306', '7'),
 ('53307', 'st53307', '8'),
 ('53308', 'st53308', '9'),
 ('53309', 'st53309', '10'),
 ('53310', 'st53310', '11'),
 ('53311', 'st53311', '12'),
 ('53312', 'st53312', '13'),
 ('53313', 'st53313', '14'),
 ('53314', 'st53314', '15'),
 ('53315', 'st53315', '16'),
 ('53316', 'st53316', '17'),
 ('53317', 'st53317', '18'),
 ('53318', 'st53318', '19'),
 ('53319', 'st53319', '20'),
 ('53320', 'st53320', '21'),
 ('53321', 'st53321', '22'),
 ('53322', 'st53322', '23'),
 ('53323', 'st53323', '24'),
 ('53324', 'st53324', '25'),
 ('53325', 'st53325', '26'),
 ('53326', 'st53326', '27'),
 ('53327', 'st53327', '28'),
 ('53328', 'st53328', '29'),
 ('53329', 'st53329', '30'),
 ('53330', 'st53330', '31'),
 ('53331', 'st53331', '32'),
 ('53332', 'st53332', '33'),
 ('53333', 'st53333', '34'),
 ('53334', 'st53334', '35'),
 ('53335', 'st53335', '36'),
 ('53336', 'st53336', '37'),
 ('53337', 'st53337', '38'),
 ('53338', 'st53338', '39'),
 ('53339', 'st53339', '40'),
 ('53340', 'st53340', '41'),
 ('53341', 'st53341', '42'),
 ('53342', 'st53342', '43'),
 ('53343', 'st53343', '44'),
 ('53344', 'st53344', '45'),
 ('53345', 'st53345', '46'),
 ('53346', 'st53346', '47'),
 ('53347', 'st53347', '48'),
 ('53348', 'st53348', '49'),
 ('53349', 'st53349', '50'),
 ('53350', 'st53350', '51'),
 ('53351', 'st53351', '52'),
 ('53352', 'st53352', '53'),
 ('53353', 'st53353', '54'),
 ('53354', 'st53354', '55'),
 ('53355', 'st53355', '56'),
 ('53356', 'st53356', '57'),
 ('53357', 'st53357', '58'),
 ('53358', 'st53358', '59'),
 ('53359', 'st53359', '60'),
 ('53360', 'st53360', '61'),
 ('53361', 'st53361', '62'),
 ('53362', 'st53362', '63'),
 ('53363', 'st53363', '64'),
 ('53364', 'st53364', '65'),
 ('53365', 'st53365', '66'),
 ('53366', 'st53366', '67'),
 ('53367', 'st53367', '68'),
 ('53368', 'st53368', '69'),
 ('53369', 'st53369', '70'),
 ('53370', 'st53370', '71'),
 ('53371', 'st53371', '72'),
 ('53372', 'st53372', '73'),
 ('53373', 'st53373', '74'),
 ('53374', 'st53374', '75'),
 ('53375', 'st53375', '76'),
 ('53376', 'st53376', '77'),
 ('53377', 'st53377', '78'),
 ('53378', 'st53378', '79'),
 ('53379', 'st53379', '80'),
 ('53380', 'st53380', '81'),
 ('53381', 'st53381', '82'),
 ('53382', 'st53382', '83'),
 ('53383', 'st53383', '84'),
 ('53384', 'st53384', '85'),
 ('53385', 'st53385', '86'),
 ('53386', 'st53386', '87'),
 ('53387', 'st53387', '88'),
 ('53388', 'st53388', '89'),
 ('53389', 'st53389', '90'),
 ('53390', 'st53390', '91'),
 ('53391', 'st53391', '92'),
 ('53392', 'st53392', '93'),
 ('53393', 'st53393', '94'),
 ('53394', 'st53394', '95'),
 ('53395', 'st53395', '96'),
 ('53396', 'st53396', '97'),
 ('53397', 'st53397', '98'),
 ('53398', 'st53398', '99'),
 ('53399', 'st53399', '100'),
 ('53400', 'st53400', '1'),
 ('53401', 'st53401', '2'),
 ('53402', 'st53402', '3'),
 ('53403', 'st53403', '4'),
 ('53404', 'st53404', '5'),
 ('53405', 'st53405', '6'),
 ('53406', 'st53406', '7'),
 ('53407', 'st53407', '8'),
 ('53408', 'st53408', '9'),
 ('53409', 'st53409', '10'),
 ('53410', 'st53410', '11'),
 ('53411', 'st53411', '12'),
 ('53412', 'st53412', '13'),
 ('53413', 'st53413', '14'),
 ('53414', 'st53414', '15'),
 ('53415', 'st53415', '16'),
 ('53416', 'st53416', '17'),
 ('53417', 'st53417', '18'),
 ('53418', 'st53418', '19'),
 ('53419', 'st53419', '20'),
 ('53420', 'st53420', '21'),
 ('53421', 'st53421', '22'),
 ('53422', 'st53422', '23'),
 ('53423', 'st53423', '24'),
 ('53424', 'st53424', '25'),
 ('53425', 'st53425', '26'),
 ('53426', 'st53426', '27'),
 ('53427', 'st53427', '28'),
 ('53428', 'st53428', '29'),
 ('53429', 'st53429', '30'),
 ('53430', 'st53430', '31'),
 ('53431', 'st53431', '32'),
 ('53432', 'st53432', '33'),
 ('53433', 'st53433', '34'),
 ('53434', 'st53434', '35'),
 ('53435', 'st53435', '36'),
 ('53436', 'st53436', '37'),
 ('53437', 'st53437', '38'),
 ('53438', 'st53438', '39'),
 ('53439', 'st53439', '40'),
 ('53440', 'st53440', '41'),
 ('53441', 'st53441', '42'),
 ('53442', 'st53442', '43'),
 ('53443', 'st53443', '44'),
 ('53444', 'st53444', '45'),
 ('53445', 'st53445', '46'),
 ('53446', 'st53446', '47'),
 ('53447', 'st53447', '48'),
 ('53448', 'st53448', '49'),
 ('53449', 'st53449', '50'),
 ('53450', 'st53450', '51'),
 ('53451', 'st53451', '52'),
 ('53452', 'st53452', '53'),
 ('53453', 'st53453', '54'),
 ('53454', 'st53454', '55'),
 ('53455', 'st53455', '56'),
 ('53456', 'st53456', '57'),
 ('53457', 'st53457', '58'),
 ('53458', 'st53458', '59'),
 ('53459', 'st53459', '60'),
 ('53460', 'st53460', '61'),
 ('53461', 'st53461', '62'),
 ('53462', 'st53462', '63'),
 ('53463', 'st53463', '64'),
 ('53464', 'st53464', '65'),
 ('53465', 'st53465', '66'),
 ('53466', 'st53466', '67'),
 ('53467', 'st53467', '68'),
 ('53468', 'st53468', '69'),
 ('53469', 'st53469', '70'),
 ('53470', 'st53470', '71'),
 ('53471', 'st53471', '72'),
 ('53472', 'st53472', '73'),
 ('53473', 'st53473', '74'),
 ('53474', 'st53474', '75'),
 ('53475', 'st53475', '76'),
 ('53476', 'st53476', '77'),
 ('53477', 'st53477', '78'),
 ('53478', 'st53478', '79'),
 ('53479', 'st53479', '80'),
 ('53480', 'st53480', '81'),
 ('53481', 'st53481', '82'),
 ('53482', 'st53482', '83'),
 ('53483', 'st53483', '84'),
 ('53484', 'st53484', '85'),
 ('53485', 'st53485', '86'),
 ('53486', 'st53486', '87'),
 ('53487', 'st53487', '88'),
 ('53488', 'st53488', '89'),
 ('53489', 'st53489', '90'),
 ('53490', 'st53490', '91'),
 ('53491', 'st53491', '92'),
 ('53492', 'st53492', '93'),
 ('53493', 'st53493', '94'),
 ('53494', 'st53494', '95'),
 ('53495', 'st53495', '96'),
 ('53496', 'st53496', '97'),
 ('53497', 'st53497', '98'),
 ('53498', 'st53498', '99'),
 ('53499', 'st53499', '100'),
 ('53500', 'st53500', '1'),
 ('53501', 'st53501', '2'),
 ('53502', 'st53502', '3'),
 ('53503', 'st53503', '4'),
 ('53504', 'st53504', '5'),
 ('53505', 'st53505', '6'),
 ('53506', 'st53506', '7'),
 ('53507', 'st53507', '8'),
 ('53508', 'st53508', '9'),
 ('53509', 'st53509', '10'),
 ('53510', 'st53510', '11'),
 ('53511', 'st53511', '12'),
 ('53512', 'st53512', '13'),
 ('53513', 'st53513', '14'),
 ('53514', 'st53514', '15'),
 ('53515', 'st53515', '16'),
 ('53516', 'st53516', '17'),
 ('53517', 'st53517', '18'),
 ('53518', 'st53518', '19'),
 ('53519', 'st53519', '20'),
 ('53520', 'st53520', '21'),
 ('53521', 'st53521', '22'),
 ('53522', 'st53522', '23'),
 ('53523', 'st53523', '24'),
 ('53524', 'st53524', '25'),
 ('53525', 'st53525', '26'),
 ('53526', 'st53526', '27'),
 ('53527', 'st53527', '28'),
 ('53528', 'st53528', '29'),
 ('53529', 'st53529', '30'),
 ('53530', 'st53530', '31'),
 ('53531', 'st53531', '32'),
 ('53532', 'st53532', '33'),
 ('53533', 'st53533', '34'),
 ('53534', 'st53534', '35'),
 ('53535', 'st53535', '36'),
 ('53536', 'st53536', '37'),
 ('53537', 'st53537', '38'),
 ('53538', 'st53538', '39'),
 ('53539', 'st53539', '40'),
 ('53540', 'st53540', '41'),
 ('53541', 'st53541', '42'),
 ('53542', 'st53542', '43'),
 ('53543', 'st53543', '44'),
 ('53544', 'st53544', '45'),
 ('53545', 'st53545', '46'),
 ('53546', 'st53546', '47'),
 ('53547', 'st53547', '48'),
 ('53548', 'st53548', '49'),
 ('53549', 'st53549', '50'),
 ('53550', 'st53550', '51'),
 ('53551', 'st53551', '52'),
 ('53552', 'st53552', '53'),
 ('53553', 'st53553', '54'),
 ('53554', 'st53554', '55'),
 ('53555', 'st53555', '56'),
 ('53556', 'st53556', '57'),
 ('53557', 'st53557', '58'),
 ('53558', 'st53558', '59'),
 ('53559', 'st53559', '60'),
 ('53560', 'st53560', '61'),
 ('53561', 'st53561', '62'),
 ('53562', 'st53562', '63'),
 ('53563', 'st53563', '64'),
 ('53564', 'st53564', '65'),
 ('53565', 'st53565', '66'),
 ('53566', 'st53566', '67'),
 ('53567', 'st53567', '68'),
 ('53568', 'st53568', '69'),
 ('53569', 'st53569', '70'),
 ('53570', 'st53570', '71'),
 ('53571', 'st53571', '72'),
 ('53572', 'st53572', '73'),
 ('53573', 'st53573', '74'),
 ('53574', 'st53574', '75'),
 ('53575', 'st53575', '76'),
 ('53576', 'st53576', '77'),
 ('53577', 'st53577', '78'),
 ('53578', 'st53578', '79'),
 ('53579', 'st53579', '80'),
 ('53580', 'st53580', '81'),
 ('53581', 'st53581', '82'),
 ('53582', 'st53582', '83'),
 ('53583', 'st53583', '84'),
 ('53584', 'st53584', '85'),
 ('53585', 'st53585', '86'),
 ('53586', 'st53586', '87'),
 ('53587', 'st53587', '88'),
 ('53588', 'st53588', '89'),
 ('53589', 'st53589', '90'),
 ('53590', 'st53590', '91'),
 ('53591', 'st53591', '92'),
 ('53592', 'st53592', '93'),
 ('53593', 'st53593', '94'),
 ('53594', 'st53594', '95'),
 ('53595', 'st53595', '96'),
 ('53596', 'st53596', '97'),
 ('53597', 'st53597', '98'),
 ('53598', 'st53598', '99'),
 ('53599', 'st53599', '100'),
 ('53600', 'st53600', '1'),
 ('53601', 'st53601', '2'),
 ('53602', 'st53602', '3'),
 ('53603', 'st53603', '4'),
 ('53604', 'st53604', '5'),
 ('53605', 'st53605', '6'),
 ('53606', 'st53606', '7'),
 ('53607', 'st53607', '8'),
 ('53608', 'st53608', '9'),
 ('53609', 'st53609', '10'),
 ('53610', 'st53610', '11'),
 ('53611', 'st53611', '12'),
 ('53612', 'st53612', '13'),
 ('53613', 'st53613', '14'),
 ('53614', 'st53614', '15'),
 ('53615', 'st53615', '16'),
 ('53616', 'st53616', '17'),
 ('53617', 'st53617', '18'),
 ('53618', 'st53618', '19'),
 ('53619', 'st53619', '20'),
 ('53620', 'st53620', '21'),
 ('53621', 'st53621', '22'),
 ('53622', 'st53622', '23'),
 ('53623', 'st53623', '24'),
 ('53624', 'st53624', '25'),
 ('53625', 'st53625', '26'),
 ('53626', 'st53626', '27'),
 ('53627', 'st53627', '28'),
 ('53628', 'st53628', '29'),
 ('53629', 'st53629', '30'),
 ('53630', 'st53630', '31'),
 ('53631', 'st53631', '32'),
 ('53632', 'st53632', '33'),
 ('53633', 'st53633', '34'),
 ('53634', 'st53634', '35'),
 ('53635', 'st53635', '36'),
 ('53636', 'st53636', '37'),
 ('53637', 'st53637', '38'),
 ('53638', 'st53638', '39'),
 ('53639', 'st53639', '40'),
 ('53640', 'st53640', '41'),
 ('53641', 'st53641', '42'),
 ('53642', 'st53642', '43'),
 ('53643', 'st53643', '44'),
 ('53644', 'st53644', '45'),
 ('53645', 'st53645', '46'),
 ('53646', 'st53646', '47'),
 ('53647', 'st53647', '48'),
 ('53648', 'st53648', '49'),
 ('53649', 'st53649', '50'),
 ('53650', 'st53650', '51'),
 ('53651', 'st53651', '52'),
 ('53652', 'st53652', '53'),
 ('53653', 'st53653', '54'),
 ('53654', 'st53654', '55'),
 ('53655', 'st53655', '56'),
 ('53656', 'st53656', '57'),
 ('53657', 'st53657', '58'),
 ('53658', 'st53658', '59'),
 ('53659', 'st53659', '60'),
 ('53660', 'st53660', '61'),
 ('53661', 'st53661', '62'),
 ('53662', 'st53662', '63'),
 ('53663', 'st53663', '64'),
 ('53664', 'st53664', '65'),
 ('53665', 'st53665', '66'),
 ('53666', 'st53666', '67'),
 ('53667', 'st53667', '68'),
 ('53668', 'st53668', '69'),
 ('53669', 'st53669', '70'),
 ('53670', 'st53670', '71'),
 ('53671', 'st53671', '72'),
 ('53672', 'st53672', '73'),
 ('53673', 'st53673', '74'),
 ('53674', 'st53674', '75'),
 ('53675', 'st53675', '76'),
 ('53676', 'st53676', '77'),
 ('53677', 'st53677', '78'),
 ('53678', 'st53678', '79'),
 ('53679', 'st53679', '80'),
 ('53680', 'st53680', '81'),
 ('53681', 'st53681', '82'),
 ('53682', 'st53682', '83'),
 ('53683', 'st53683', '84'),
 ('53684', 'st53684', '85'),
 ('53685', 'st53685', '86'),
 ('53686', 'st53686', '87'),
 ('53687', 'st53687', '88'),
 ('53688', 'st53688', '89'),
 ('53689', 'st53689', '90'),
 ('53690', 'st53690', '91'),
 ('53691', 'st53691', '92'),
 ('53692', 'st53692', '93'),
 ('53693', 'st53693', '94'),
 ('53694', 'st53694', '95'),
 ('53695', 'st53695', '96'),
 ('53696', 'st53696', '97'),
 ('53697', 'st53697', '98'),
 ('53698', 'st53698', '99'),
 ('53699', 'st53699', '100'),
 ('53700', 'st53700', '1'),
 ('53701', 'st53701', '2'),
 ('53702', 'st53702', '3'),
 ('53703', 'st53703', '4'),
 ('53704', 'st53704', '5'),
 ('53705', 'st53705', '6'),
 ('53706', 'st53706', '7'),
 ('53707', 'st53707', '8'),
 ('53708', 'st53708', '9'),
 ('53709', 'st53709', '10'),
 ('53710', 'st53710', '11'),
 ('53711', 'st53711', '12'),
 ('53712', 'st53712', '13'),
 ('53713', 'st53713', '14'),
 ('53714', 'st53714', '15'),
 ('53715', 'st53715', '16'),
 ('53716', 'st53716', '17'),
 ('53717', 'st53717', '18'),
 ('53718', 'st53718', '19'),
 ('53719', 'st53719', '20'),
 ('53720', 'st53720', '21'),
 ('53721', 'st53721', '22'),
 ('53722', 'st53722', '23'),
 ('53723', 'st53723', '24'),
 ('53724', 'st53724', '25'),
 ('53725', 'st53725', '26'),
 ('53726', 'st53726', '27'),
 ('53727', 'st53727', '28'),
 ('53728', 'st53728', '29'),
 ('53729', 'st53729', '30'),
 ('53730', 'st53730', '31'),
 ('53731', 'st53731', '32'),
 ('53732', 'st53732', '33'),
 ('53733', 'st53733', '34'),
 ('53734', 'st53734', '35'),
 ('53735', 'st53735', '36'),
 ('53736', 'st53736', '37'),
 ('53737', 'st53737', '38'),
 ('53738', 'st53738', '39'),
 ('53739', 'st53739', '40'),
 ('53740', 'st53740', '41'),
 ('53741', 'st53741', '42'),
 ('53742', 'st53742', '43'),
 ('53743', 'st53743', '44'),
 ('53744', 'st53744', '45'),
 ('53745', 'st53745', '46'),
 ('53746', 'st53746', '47'),
 ('53747', 'st53747', '48'),
 ('53748', 'st53748', '49'),
 ('53749', 'st53749', '50'),
 ('53750', 'st53750', '51'),
 ('53751', 'st53751', '52'),
 ('53752', 'st53752', '53'),
 ('53753', 'st53753', '54'),
 ('53754', 'st53754', '55'),
 ('53755', 'st53755', '56'),
 ('53756', 'st53756', '57'),
 ('53757', 'st53757', '58'),
 ('53758', 'st53758', '59'),
 ('53759', 'st53759', '60'),
 ('53760', 'st53760', '61'),
 ('53761', 'st53761', '62'),
 ('53762', 'st53762', '63'),
 ('53763', 'st53763', '64'),
 ('53764', 'st53764', '65'),
 ('53765', 'st53765', '66'),
 ('53766', 'st53766', '67'),
 ('53767', 'st53767', '68'),
 ('53768', 'st53768', '69'),
 ('53769', 'st53769', '70'),
 ('53770', 'st53770', '71'),
 ('53771', 'st53771', '72'),
 ('53772', 'st53772', '73'),
 ('53773', 'st53773', '74'),
 ('53774', 'st53774', '75'),
 ('53775', 'st53775', '76'),
 ('53776', 'st53776', '77'),
 ('53777', 'st53777', '78'),
 ('53778', 'st53778', '79'),
 ('53779', 'st53779', '80'),
 ('53780', 'st53780', '81'),
 ('53781', 'st53781', '82'),
 ('53782', 'st53782', '83'),
 ('53783', 'st53783', '84'),
 ('53784', 'st53784', '85'),
 ('53785', 'st53785', '86'),
 ('53786', 'st53786', '87'),
 ('53787', 'st53787', '88'),
 ('53788', 'st53788', '89'),
 ('53789', 'st53789', '90'),
 ('53790', 'st53790', '91'),
 ('53791', 'st53791', '92'),
 ('53792', 'st53792', '93'),
 ('53793', 'st53793', '94'),
 ('53794', 'st53794', '95'),
 ('53795', 'st53795', '96'),
 ('53796', 'st53796', '97'),
 ('53797', 'st53797', '98'),
 ('53798', 'st53798', '99'),
 ('53799', 'st53799', '100'),
 ('53800', 'st53800', '1'),
 ('53801', 'st53801', '2'),
 ('53802', 'st53802', '3'),
 ('53803', 'st53803', '4'),
 ('53804', 'st53804', '5'),
 ('53805', 'st53805', '6'),
 ('53806', 'st53806', '7'),
 ('53807', 'st53807', '8'),
 ('53808', 'st53808', '9'),
 ('53809', 'st53809', '10'),
 ('53810', 'st53810', '11'),
 ('53811', 'st53811', '12'),
 ('53812', 'st53812', '13'),
 ('53813', 'st53813', '14'),
 ('53814', 'st53814', '15'),
 ('53815', 'st53815', '16'),
 ('53816', 'st53816', '17'),
 ('53817', 'st53817', '18'),
 ('53818', 'st53818', '19'),
 ('53819', 'st53819', '20'),
 ('53820', 'st53820', '21'),
 ('53821', 'st53821', '22'),
 ('53822', 'st53822', '23'),
 ('53823', 'st53823', '24'),
 ('53824', 'st53824', '25'),
 ('53825', 'st53825', '26'),
 ('53826', 'st53826', '27'),
 ('53827', 'st53827', '28'),
 ('53828', 'st53828', '29'),
 ('53829', 'st53829', '30'),
 ('53830', 'st53830', '31'),
 ('53831', 'st53831', '32'),
 ('53832', 'st53832', '33'),
 ('53833', 'st53833', '34'),
 ('53834', 'st53834', '35'),
 ('53835', 'st53835', '36'),
 ('53836', 'st53836', '37'),
 ('53837', 'st53837', '38'),
 ('53838', 'st53838', '39'),
 ('53839', 'st53839', '40'),
 ('53840', 'st53840', '41'),
 ('53841', 'st53841', '42'),
 ('53842', 'st53842', '43'),
 ('53843', 'st53843', '44'),
 ('53844', 'st53844', '45'),
 ('53845', 'st53845', '46'),
 ('53846', 'st53846', '47'),
 ('53847', 'st53847', '48'),
 ('53848', 'st53848', '49'),
 ('53849', 'st53849', '50'),
 ('53850', 'st53850', '51'),
 ('53851', 'st53851', '52'),
 ('53852', 'st53852', '53'),
 ('53853', 'st53853', '54'),
 ('53854', 'st53854', '55'),
 ('53855', 'st53855', '56'),
 ('53856', 'st53856', '57'),
 ('53857', 'st53857', '58'),
 ('53858', 'st53858', '59'),
 ('53859', 'st53859', '60'),
 ('53860', 'st53860', '61'),
 ('53861', 'st53861', '62'),
 ('53862', 'st53862', '63'),
 ('53863', 'st53863', '64'),
 ('53864', 'st53864', '65'),
 ('53865', 'st53865', '66'),
 ('53866', 'st53866', '67'),
 ('53867', 'st53867', '68'),
 ('53868', 'st53868', '69'),
 ('53869', 'st53869', '70'),
 ('53870', 'st53870', '71'),
 ('53871', 'st53871', '72'),
 ('53872', 'st53872', '73'),
 ('53873', 'st53873', '74'),
 ('53874', 'st53874', '75'),
 ('53875', 'st53875', '76'),
 ('53876', 'st53876', '77'),
 ('53877', 'st53877', '78'),
 ('53878', 'st53878', '79'),
 ('53879', 'st53879', '80'),
 ('53880', 'st53880', '81'),
 ('53881', 'st53881', '82'),
 ('53882', 'st53882', '83'),
 ('53883', 'st53883', '84'),
 ('53884', 'st53884', '85'),
 ('53885', 'st53885', '86'),
 ('53886', 'st53886', '87'),
 ('53887', 'st53887', '88'),
 ('53888', 'st53888', '89'),
 ('53889', 'st53889', '90'),
 ('53890', 'st53890', '91'),
 ('53891', 'st53891', '92'),
 ('53892', 'st53892', '93'),
 ('53893', 'st53893', '94'),
 ('53894', 'st53894', '95'),
 ('53895', 'st53895', '96'),
 ('53896', 'st53896', '97'),
 ('53897', 'st53897', '98'),
 ('53898', 'st53898', '99'),
 ('53899', 'st53899', '100'),
 ('53900', 'st53900', '1'),
 ('53901', 'st53901', '2'),
 ('53902', 'st53902', '3'),
 ('53903', 'st53903', '4'),
 ('53904', 'st53904', '5'),
 ('53905', 'st53905', '6'),
 ('53906', 'st53906', '7'),
 ('53907', 'st53907', '8'),
 ('53908', 'st53908', '9'),
 ('53909', 'st53909', '10'),
 ('53910', 'st53910', '11'),
 ('53911', 'st53911', '12'),
 ('53912', 'st53912', '13'),
 ('53913', 'st53913', '14'),
 ('53914', 'st53914', '15'),
 ('53915', 'st53915', '16'),
 ('53916', 'st53916', '17'),
 ('53917', 'st53917', '18'),
 ('53918', 'st53918', '19'),
 ('53919', 'st53919', '20'),
 ('53920', 'st53920', '21'),
 ('53921', 'st53921', '22'),
 ('53922', 'st53922', '23'),
 ('53923', 'st53923', '24'),
 ('53924', 'st53924', '25'),
 ('53925', 'st53925', '26'),
 ('53926', 'st53926', '27'),
 ('53927', 'st53927', '28'),
 ('53928', 'st53928', '29'),
 ('53929', 'st53929', '30'),
 ('53930', 'st53930', '31'),
 ('53931', 'st53931', '32'),
 ('53932', 'st53932', '33'),
 ('53933', 'st53933', '34'),
 ('53934', 'st53934', '35'),
 ('53935', 'st53935', '36'),
 ('53936', 'st53936', '37'),
 ('53937', 'st53937', '38'),
 ('53938', 'st53938', '39'),
 ('53939', 'st53939', '40'),
 ('53940', 'st53940', '41'),
 ('53941', 'st53941', '42'),
 ('53942', 'st53942', '43'),
 ('53943', 'st53943', '44'),
 ('53944', 'st53944', '45'),
 ('53945', 'st53945', '46'),
 ('53946', 'st53946', '47'),
 ('53947', 'st53947', '48'),
 ('53948', 'st53948', '49'),
 ('53949', 'st53949', '50'),
 ('53950', 'st53950', '51'),
 ('53951', 'st53951', '52'),
 ('53952', 'st53952', '53'),
 ('53953', 'st53953', '54'),
 ('53954', 'st53954', '55'),
 ('53955', 'st53955', '56'),
 ('53956', 'st53956', '57'),
 ('53957', 'st53957', '58'),
 ('53958', 'st53958', '59'),
 ('53959', 'st53959', '60'),
 ('53960', 'st53960', '61'),
 ('53961', 'st53961', '62'),
 ('53962', 'st53962', '63'),
 ('53963', 'st53963', '64'),
 ('53964', 'st53964', '65'),
 ('53965', 'st53965', '66'),
 ('53966', 'st53966', '67'),
 ('53967', 'st53967', '68'),
 ('53968', 'st53968', '69'),
 ('53969', 'st53969', '70'),
 ('53970', 'st53970', '71'),
 ('53971', 'st53971', '72'),
 ('53972', 'st53972', '73'),
 ('53973', 'st53973', '74'),
 ('53974', 'st53974', '75'),
 ('53975', 'st53975', '76'),
 ('53976', 'st53976', '77'),
 ('53977', 'st53977', '78'),
 ('53978', 'st53978', '79'),
 ('53979', 'st53979', '80'),
 ('53980', 'st53980', '81'),
 ('53981', 'st53981', '82'),
 ('53982', 'st53982', '83'),
 ('53983', 'st53983', '84'),
 ('53984', 'st53984', '85'),
 ('53985', 'st53985', '86'),
 ('53986', 'st53986', '87'),
 ('53987', 'st53987', '88'),
 ('53988', 'st53988', '89'),
 ('53989', 'st53989', '90'),
 ('53990', 'st53990', '91'),
 ('53991', 'st53991', '92'),
 ('53992', 'st53992', '93'),
 ('53993', 'st53993', '94'),
 ('53994', 'st53994', '95'),
 ('53995', 'st53995', '96'),
 ('53996', 'st53996', '97'),
 ('53997', 'st53997', '98'),
 ('53998', 'st53998', '99'),
 ('53999', 'st53999', '100'),
 ('54000', 'st54000', '1'),
 ('54001', 'st54001', '2'),
 ('54002', 'st54002', '3'),
 ('54003', 'st54003', '4'),
 ('54004', 'st54004', '5'),
